Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		29	"88°14'55"""	"91°29'07"""	0''	" 133° 54' 57"""	" 133° 54' 57"""	72.294  	72.279  	52.07  	0.00  	-50.13  	0.00  	-1.73  	0.00  	10052.067   	9949.867   	28.238   	29				C									54	1	29	1.45	"88°14'55"""	72.294	"91°29'07"""	C	SS												
		1.45		30	"189°34'01"""	"90°13'33"""	0''	" 234° 54' 53"""	" 234° 54' 53"""	52.022  	52.022  	-42.57  	0.00  	-29.90  	0.00  	-0.32  	0.00  	9957.431   	9970.098   	29.645   	30				C									56	1	30	1.45	"189°34'01"""	52.022	"90°13'33"""	C	SS												
		1.45		31	"125°28'28"""	"91°10'44"""	0''	" 170° 59' 0"""	" 170° 58' 60"""	86.996  	86.983  	13.63  	0.00  	-85.91  	0.00  	-1.79  	0.00  	10013.632   	9914.092   	28.171   	31				C									58	1	31	1.45	"125°28'28"""	86.996	"91°10'44"""	C	SS												
		1.45		K21	"180°10'18"""	"89°45'10"""	0''	" 225° 50' 60"""	" 225° 50' 60"""	50.728  	50.722  	-36.39  	0.00  	-35.33  	0.00  	0.54  	0.00  	9963.606   	9964.670   	30.503   	K21				K21									60	1	K21	1.45	"180°10'18"""	50.728	"89°45'10"""	K21	SS												
		1.45		33	"179°22'14"""	"90°19'12"""	0''	" 224° 52' 56"""	" 224° 52' 56"""	50.624  	50.624  	-35.72  	0.00  	-35.87  	0.00  	-0.41  	0.00  	9964.277   	9964.130   	29.558   	33				C									62	1	33	1.45	"179°22'14"""	50.624	"90°19'12"""	C	SS												
		1.45		34	"127°37'58"""	"91°34'43"""	0''	" 172° 58' 0"""	" 172° 58' 0"""	82.588  	82.574  	10.11  	0.00  	-81.95  	0.00  	-1.81  	0.00  	10010.111   	9918.048   	28.152   	34				C									64	1	34	1.45	"127°37'58"""	82.588	"91°34'43"""	C	SS												
		2.5		35	"175°01'32"""	"92°45'49"""	0''	" 220° 51' 54"""	" 220° 51' 54"""	50.362  	50.329  	-32.93  	0.00  	-38.06  	0.00  	-3.16  	0.00  	9967.071   	9961.939   	26.808   	35				C									66	1	35	2.5	"175°01'32"""	50.362	"92°45'49"""	C	SS												
		2.5		36	"166°31'41"""	"94°12'30"""	0''	" 211° 51' 53"""	" 211° 51' 53"""	52.081  	51.952  	-27.43  	0.00  	-44.12  	0.00  	-4.99  	0.00  	9972.574   	9955.877   	24.978   	36				T									68	1	36	2.5	"166°31'41"""	52.081	"94°12'30"""	T	SS												
		2.5		37	"166°01'05"""	"94°56'11"""	0''	" 211° 51' 57"""	" 211° 51' 57"""	52.215  	52.081  	-27.50  	0.00  	-44.23  	0.00  	-5.06  	0.00  	9972.505   	9955.768   	24.908   	37				D									70	1	37	2.5	"166°01'05"""	52.215	"94°56'11"""	D	SS												
		2.5		38	"166°08'46"""	"94°59'15"""	0''	" 211° 58' 58"""	" 211° 58' 58"""	52.335  	52.198  	-27.65  	0.00  	-44.27  	0.00  	-5.11  	0.00  	9972.353   	9955.726   	24.852   	38				D									72	1	38	2.5	"166°08'46"""	52.335	"94°59'15"""	D	SS												
