Topo 02 - Polygon Calculation																																																						
HITUNGAN   POLIGON																																																						
																																																						
Proyek	:															Referensi	Titik	X	Y	Z			DX	0.000																														
Jalur	:															awal	K20	10000.000   	10000.000   	29.966			DY	0.000																														
Dihitung Oleh 	:															BS	K19	10050.000   	10050.000   	(Nilai Z Back Sight...)			DZ	-11.724																														
Tanggal	:																azimuth	" 45° 0' 0"""					Koreksi sudut  :	Y																														
																akhir	K30	9644.001   	9646.908   	(Nilai Z Berdiri Akhir...)			Koreksi jarak  :	Y																														
																	K55	9536.413   	9539.568   	21			Koreksi Elevasi	Y																														
																	azimuth	" 225° 3' 58"""																																				
																																																						
No	Tinggi alat	Tinggi target	Titik Poligon		Sudut Horisontal	Sudut Vertikal	Koreksi sudut	Azimuth		Jarak Miring	Jarak Datar	DX	Koreksi X	DY	Koreksi Y	DZ	Koreksi Z	Koordinat   (m)			Patok	Keterangan			Keterangan Tambahan																													
									+ koreksi									Absis  (X)	Ordinat  (Y)	Z		Poligon	WP	BM/CP			No	Point Name	Instrument Height (m)	Instrument Centering Error (m)	Instrument Height Error (m)	Reflector Height Error (m)	Reflector Centering Error (m)	#	Point From	Point To	Reflector Height (m)	Horizontal Circle	Slope Distance (m)	Zenith Angle	Code	Type												
		1.45		154	"92°14'37"""	"94°47'52"""	0''	" 137° 54' 51"""	" 137° 54' 51"""	60.055  	59.900  	40.15  	0.00  	-44.45  	0.00  	-4.64  	0.00  	9865.993   	9783.443   	21.719   	154				T									142	83	154	1.45	"92°14'37"""	60.055	"94°47'52"""	T	SS												
		1.45		155	"92°15'44"""	"94°47'51"""	0''	" 137° 55' 48"""	" 137° 55' 48"""	60.047  	59.892  	40.13  	0.00  	-44.46  	0.00  	-4.64  	0.00  	9865.976   	9783.438   	21.720   	155				D									144	83	155	1.45	"92°15'44"""	60.047	"94°47'51"""	D	SS												
		1.45		156	"92°13'09"""	"94°42'48"""	0''	" 137° 53' 53"""	" 137° 53' 53"""	60.416  	60.266  	40.41  	0.00  	-44.71  	0.00  	-4.58  	0.00  	9866.251   	9783.183   	21.779   	156				D									146	83	156	1.45	"92°13'09"""	60.416	"94°42'48"""	D	SS												
		1.45		157	"92°13'09"""	"94°29'08"""	0''	" 137° 53' 53"""	" 137° 53' 53"""	60.474  	60.315  	40.44  	0.00  	-44.75  	0.00  	-4.71  	0.00  	9866.284   	9783.147   	21.653   	157				T									148	83	157	1.45	"92°13'09"""	60.474	"94°29'08"""	T	SS												
		1.45		158	"92°10'55"""	"91°22'12"""	0''	" 137° 50' 49"""	" 137° 50' 49"""	65.344  	65.333  	43.85  	0.00  	-48.44  	0.00  	-1.51  	0.00  	9869.692   	9779.462   	24.852   	158				C									150	83	158	1.45	"92°10'55"""	65.344	"91°22'12"""	C	SS												
		1.45		159	"92°12'16"""	"90°26'29"""	0''	" 137° 52' 50"""	" 137° 52' 50"""	72.218  	72.218  	48.43  	0.00  	-53.57  	0.00  	-0.46  	0.00  	9874.281   	9774.330   	25.902   	159				C									152	83	159	1.45	"92°12'16"""	72.218	"90°26'29"""	C	SS												
		1.45		160	"93°26'19"""	"106°25'40"""	0''	" 138° 56' 53"""	" 138° 56' 53"""	18.536  	17.810  	11.70  	0.00  	-13.43  	0.00  	-5.47  	0.00  	9837.543   	9814.466   	20.896   	160				T1L									154	83	160	1.45	"93°26'19"""	18.536	"106°25'40"""	T1L	SS												
		1.45		161	"93°21'52"""	"106°01'52"""	0''	" 138° 51' 46"""	" 138° 51' 46"""	17.591  	16.908  	11.12  	0.00  	-12.73  	0.00  	-5.18  	0.00  	9836.969   	9815.164   	21.177   	161				C									156	83	161	1.45	"93°21'52"""	17.591	"106°01'52"""	C	SS												
		1.45		162	"93°35'21"""	"111°47'07"""	0''	" 138° 55' 45"""	" 138° 55' 45"""	12.286  	11.461  	7.53  	0.00  	-8.64  	0.00  	-4.76  	0.00  	9833.375   	9819.257   	21.605   	162				T									158	83	162	1.45	"93°35'21"""	12.286	"111°47'07"""	T	SS												
		1.45		163	"93°54'32"""	"110°55'55"""	0''	" 138° 54' 46"""	" 138° 54' 46"""	13.497  	12.676  	8.33  	0.00  	-9.55  	0.00  	-4.96  	0.00  	9834.177   	9818.343   	21.396   	163				T									160	83	163	1.45	"93°54'32"""	13.497	"110°55'55"""	T	SS												
		1.45		164	"93°49'42"""	"111°52'04"""	0''	" 138° 59' 46"""	" 138° 59' 46"""	13.473  	12.575  	8.25  	0.00  	-9.49  	0.00  	-5.17  	0.00  	9834.096   	9818.408   	21.195   	164				D									162	83	164	1.45	"93°49'42"""	13.473	"111°52'04"""	D	SS												
		1.45		165	"93°53'57"""	"112°33'34"""	0''	" 138° 53' 51"""	" 138° 53' 51"""	13.257  	12.287  	8.08  	0.00  	-9.26  	0.00  	-5.31  	0.00  	9833.923   	9818.639   	21.054   	165				D									164	83	165	1.45	"93°53'57"""	13.257	"112°33'34"""	D	SS												
		1.45		166	"93°53'57"""	"111°28'28"""	0''	" 138° 53' 51"""	" 138° 53' 51"""	13.051  	12.173  	8.00  	0.00  	-9.17  	0.00  	-5.04  	0.00  	9833.848   	9818.725   	21.325   	166				T									166	83	166	1.45	"93°53'57"""	13.051	"111°28'28"""	T	SS												
		1.45		167	"94°00'45"""	"104°54'09"""	0''	" 139° 50' 49"""	" 139° 50' 49"""	7.090  	6.877  	4.43  	0.00  	-5.26  	0.00  	-2.05  	0.00  	9830.280   	9822.641   	24.308   	167				C									168	83	167	1.45	"94°00'45"""	7.09	"104°54'09"""	C	SS												
		1.45		168	"94°00'46"""	"119°33'30"""	0''	" 139° 50' 50"""	" 139° 50' 50"""	3.837  	3.354  	2.16  	0.00  	-2.56  	0.00  	-2.19  	0.00  	9828.009   	9825.334   	24.168   	168				C									170	83	168	1.45	"94°00'46"""	3.837	"119°33'30"""	C	SS												
		1.45		169	"94°28'53"""	"95°25'34"""	0''	" 139° 58' 47"""	" 139° 58' 47"""	0.177  	0.176  	0.11  	0.00  	-0.14  	0.00  	-0.35  	0.00  	9825.959   	9827.763   	26.016   	169				C									172	83	169	1.45	"94°28'53"""	0.177	"95°25'34"""	C	SS												
		1.45		170	"274°31'10"""	"88°45'30"""	0''	" 319° 51' 44"""	" 319° 51' 44"""	3.872  	3.870  	-2.49  	0.00  	2.96  	0.00  	-0.20  	0.00  	9823.351   	9830.856   	26.161   	170				C									174	83	170	1.45	"274°31'10"""	3.872	"88°45'30"""	C	SS												
		1.45		171	"274°05'04"""	"93°32'01"""	0''	" 319° 55' 48"""	" 319° 55' 48"""	4.321  	4.315  	-2.78  	0.00  	3.30  	0.00  	-0.56  	0.00  	9823.068   	9831.200   	25.803   	171				S									176	83	171	1.45	"274°05'04"""	4.321	"93°32'01"""	S	SS												
		1.45		172	"274°05'05"""	"91°41'36"""	0''	" 319° 55' 49"""	" 319° 55' 49"""	12.971  	12.969  	-8.35  	0.00  	9.92  	0.00  	-0.56  	0.00  	9817.497   	9837.822   	25.801   	172				S									178	83	172	1.45	"274°05'05"""	12.971	"91°41'36"""	S	SS												
		1.45		K26	"179°42'48"""	"89°46'09"""	0''	" 224° 52' 52"""	" 224° 52' 52"""	56.547  	56.540  	-39.90  	0.00  	-40.06  	0.00  	0.56  	0.00  	9785.949   	9787.835   	26.917   	K26				K26									180	83	K26	1.45	"179°42'48"""	56.547	"89°46'09"""	K26	SS												
		1.45		174	"183°38'37"""	"90°04'39"""	0''	" 228° 58' 51"""	" 228° 58' 51"""	56.613  	56.613  	-42.71  	0.00  	-37.16  	0.00  	-0.40  	0.00  	9783.132   	9790.742   	25.963   	174				C									182	83	174	1.45	"183°38'37"""	56.613	"90°04'39"""	C	SS												
		1.45		175	"191°44'30"""	"90°27'55"""	0''	" 236° 54' 44"""	" 236° 54' 44"""	57.370  	57.370  	-48.07  	0.00  	-31.32  	0.00  	-0.45  	0.00  	9777.779   	9796.578   	25.913   	175				S									184	83	175	1.45	"191°44'30"""	57.37	"90°27'55"""	S	SS												
		1.45		176	"179°46'19"""	"89°55'26"""	0''	" 224° 56' 53"""	" 224° 56' 53"""	56.615  	56.608  	-39.99  	0.00  	-40.06  	0.00  	0.57  	0.00  	9785.854   	9787.834   	26.935   	176				C									186	83	176	1.45	"179°46'19"""	56.615	"89°55'26"""	C	SS												
		1.45		177	"176°38'23"""	"91°43'57"""	0''	" 221° 58' 47"""	" 221° 58' 47"""	56.933  	56.923  	-38.07  	0.00  	-42.32  	0.00  	-1.38  	0.00  	9787.771   	9785.582   	24.986   	177				C									188	83	177	1.45	"176°38'23"""	56.933	"91°43'57"""	C	SS												
		1.45		178	"172°25'28"""	"91°55'47"""	0''	" 217° 55' 52"""	" 217° 55' 52"""	56.809  	56.799  	-34.91  	0.00  	-44.80  	0.00  	-1.41  	0.00  	9790.931   	9783.098   	24.955   	178				C									190	83	178	1.45	"172°25'28"""	56.809	"91°55'47"""	C	SS												
		1.45		179	"168°10'54"""	"93°29'52"""	0''	" 213° 50' 48"""	" 213° 50' 48"""	57.283  	57.196  	-31.86  	0.00  	-47.50  	0.00  	-3.48  	0.00  	9793.989   	9780.394   	22.883   	179				T									192	83	179	1.45	"168°10'54"""	57.283	"93°29'52"""	T	SS												
		1.45		180	"167°49'41"""	"93°51'59"""	0''	" 212° 59' 45"""	" 212° 59' 45"""	57.559  	57.479  	-31.30  	0.00  	-48.21  	0.00  	-3.36  	0.00  	9794.544   	9779.689   	23.000   	180				D									194	83	180	1.45	"167°49'41"""	57.559	"93°51'59"""	D	SS												
		1.45		181	"167°31'52"""	"93°57'53"""	0''	" 212° 51' 46"""	" 212° 51' 46"""	57.806  	57.720  	-31.32  	0.00  	-48.48  	0.00  	-3.47  	0.00  	9794.525   	9779.414   	22.888   	181				D									196	83	181	1.45	"167°31'52"""	57.806	"93°57'53"""	D	SS												
		1.45		182	"167°21'53"""	"93°39'39"""	0''	" 212° 51' 47"""	" 212° 51' 47"""	57.846  	57.758  	-31.34  	0.00  	-48.52  	0.00  	-3.51  	0.00  	9794.504   	9779.382   	22.850   	182				T									198	83	182	1.45	"167°21'53"""	57.846	"93°39'39"""	T	SS												
		1.45		183	"162°55'14"""	"93°46'13"""	0''	" 207° 55' 48"""	" 207° 55' 48"""	58.570  	58.484  	-27.39  	0.00  	-51.67  	0.00  	-3.50  	0.00  	9798.452   	9776.226   	22.863   	183				C									200	83	183	1.45	"162°55'14"""	58.57	"93°46'13"""	C	SS												
		1.45		184	"162°15'57"""	"94°05'57"""	0''	" 207° 55' 51"""	" 207° 55' 51"""	58.849  	58.699  	-27.50  	0.00  	-51.86  	0.00  	-4.52  	0.00  	9798.351   	9776.036   	21.839   	184				T1L									202	83	184	1.45	"162°15'57"""	58.849	"94°05'57"""	T1L	SS												
		2.5		200	"157°23'06"""	"97°12'53"""	0''	" 202° 53' 50"""	" 202° 53' 50"""	61.029  	60.570  	-23.57  	0.00  	-55.80  	0.00  	-8.85  	0.00  	9802.279   	9772.101   	17.508   	200				D1L									204	83	200	2.5	"157°23'06"""	61.029	"97°12'53"""	D1L	SS												
		2.5		201	"147°37'50"""	"96°35'26"""	0''	" 192° 57' 44"""	" 192° 57' 44"""	66.760  	66.384  	-14.89  	0.00  	-64.69  	0.00  	-8.46  	0.00  	9810.955   	9763.205   	17.904   	201				D1L									206	83	201	2.5	"147°37'50"""	66.76	"96°35'26"""	D1L	SS												
		2.5		202	"140°04'39"""	"95°59'01"""	0''	" 185° 54' 53"""	" 185° 54' 53"""	73.528  	73.231  	-7.55  	0.00  	-72.84  	0.00  	-7.98  	0.00  	9818.299   	9755.056   	18.381   	202				D1L									208	83	202	2.5	"140°04'39"""	73.528	"95°59'01"""	D1L	SS												
		1.45		203	"137°02'10"""	"93°50'38"""	0''	" 182° 52' 44"""	" 182° 52' 44"""	76.950  	76.844  	-3.86  	0.00  	-76.75  	0.00  	-4.36  	0.00  	9821.986   	9751.150   	22.001   	203				T1L									210	83	203	1.45	"137°02'10"""	76.95	"93°50'38"""	T1L	SS												
		1.45		204	"136°16'32"""	"93°18'17"""	0''	" 181° 56' 46"""	" 181° 56' 46"""	78.023  	77.906  	-2.65  	0.00  	-77.86  	0.00  	-4.60  	0.00  	9823.200   	9750.036   	21.764   	204				T									212	83	204	1.45	"136°16'32"""	78.023	"93°18'17"""	T	SS												
		1.45		205	"135°52'51"""	"93°10'22"""	0''	" 180° 52' 45"""	" 180° 52' 45"""	78.857  	78.749  	-1.21  	0.00  	-78.74  	0.00  	-4.46  	0.00  	9824.637   	9749.158   	21.903   	205				Ji									214	83	205	1.45	"135°52'51"""	78.857	"93°10'22"""	Ji	SS												
		1.45		206	"135°43'23"""	"93°11'36"""	0''	" 180° 53' 47"""	" 180° 53' 47"""	79.243  	79.133  	-1.24  	0.00  	-79.12  	0.00  	-4.50  	0.00  	9824.608   	9748.774   	21.859   	206				Ji									216	83	206	1.45	"135°43'23"""	79.243	"93°11'36"""	Ji	SS												
		1.45		207	"133°47'39"""	"93°07'00"""	0''	" 178° 57' 53"""	" 178° 57' 53"""	82.128  	82.007  	1.48  	0.00  	-81.99  	0.00  	-4.80  	0.00  	9827.327   	9745.904   	21.566   	207				Ji									218	83	207	1.45	"133°47'39"""	82.128	"93°07'00"""	Ji	SS												
		1.45		208	"133°45'07"""	"92°59'17"""	0''	" 178° 55' 51"""	" 178° 55' 51"""	82.253  	82.195  	1.53  	0.00  	-82.18  	0.00  	-3.42  	0.00  	9827.379   	9745.717   	22.943   	208				T									220	83	208	1.45	"133°45'07"""	82.253	"92°59'17"""	T	SS												
		1.45		209	"133°41'10"""	"92°59'16"""	0''	" 178° 51' 44"""	" 178° 51' 44"""	82.440  	82.382  	1.64  	0.00  	-82.37  	0.00  	-3.43  	0.00  	9827.482   	9745.532   	22.936   	209				T									222	83	209	1.45	"133°41'10"""	82.44	"92°59'16"""	T	SS												
		1.45		210	"133°42'28"""	"93°16'44"""	0''	" 178° 52' 52"""	" 178° 52' 52"""	82.509  	82.388  	1.61  	0.00  	-82.37  	0.00  	-4.79  	0.00  	9827.454   	9745.525   	21.568   	210				T									224	83	210	1.45	"133°42'28"""	82.509	"93°16'44"""	T	SS												
		1.45		211	"133°49'59"""	"93°25'51"""	0''	" 178° 59' 53"""	" 178° 59' 53"""	82.948  	82.828  	1.45  	0.00  	-82.82  	0.00  	-4.79  	0.00  	9827.294   	9745.082   	21.569   	211				D									226	83	211	1.45	"133°49'59"""	82.948	"93°25'51"""	D	SS												
		1.45		212	"133°41'21"""	"93°25'51"""	0''	" 178° 51' 45"""	" 178° 51' 45"""	83.180  	83.060  	1.65  	0.00  	-83.04  	0.00  	-4.80  	0.00  	9827.495   	9744.854   	21.557   	212				D									228	83	212	1.45	"133°41'21"""	83.18	"93°25'51"""	D	SS												
		1.45		213	"133°33'14"""	"93°13'19"""	0''	" 178° 53' 48"""	" 178° 53' 48"""	83.356  	83.238  	1.60  	0.00  	-83.22  	0.00  	-4.77  	0.00  	9827.448   	9744.675   	21.592   	213				T									230	83	213	1.45	"133°33'14"""	83.356	"93°13'19"""	T	SS												
		1.45		214	"131°13'00"""	"91°05'49"""	0''	" 176° 53' 44"""	" 176° 53' 44"""	87.058  	87.042  	4.71  	0.00  	-86.91  	0.00  	-1.98  	0.00  	9830.560   	9740.983   	24.381   	214				C									232	83	214	1.45	"131°13'00"""	87.058	"91°05'49"""	C	SS												
		1.45		215	"129°22'42"""	"90°10'06"""	0''	" 174° 52' 46"""	" 174° 52' 46"""	91.074  	91.074  	8.13  	0.00  	-90.71  	0.00  	-0.33  	0.00  	9833.974   	9737.187   	26.029   	215				C									234	83	215	1.45	"129°22'42"""	91.074	"90°10'06"""	C	SS												
		1.45		K27	"179°43'52"""	"89°57'49"""	0''	" 224° 53' 46"""	" 224° 53' 46"""	103.506  	103.494  	-73.05  	0.00  	-73.31  	0.00  	1.26  	0.00  	9752.797   	9754.584   	27.622   	K27				K27									236	83	K27	1.45	"179°43'52"""	103.506	"89°57'49"""	K27	SS												
		1.45		217	"185°50'43"""	"90°15'01"""	0''	" 230° 50' 47"""	" 230° 50' 47"""	104.480  	104.480  	-81.02  	0.00  	-65.97  	0.00  	-0.48  	0.00  	9744.826   	9761.929   	25.879   	217				S									238	83	217	1.45	"185°50'43"""	104.48	"90°15'01"""	S	SS												
		1.45		218	"179°43'07"""	"90°06'44"""	0''	" 224° 53' 51"""	" 224° 53' 51"""	103.613  	103.613  	-73.13  	0.00  	-73.40  	0.00  	-0.51  	0.00  	9752.712   	9754.501   	25.848   	218				C									240	83	218	1.45	"179°43'07"""	103.613	"90°06'44"""	C	SS												
		1.45		219	"178°09'00"""	"90°55'15"""	0''	" 223° 59' 44"""	" 223° 59' 44"""	103.524  	103.524  	-71.91  	0.00  	-74.47  	0.00  	-0.48  	0.00  	9753.938   	9753.423   	25.878   	219				C									242	83	219	1.45	"178°09'00"""	103.524	"90°55'15"""	C	SS												
		1.45		220	"176°00'39"""	"91°00'26"""	0''	" 221° 50' 53"""	" 221° 50' 53"""	103.591  	103.575  	-69.10  	0.00  	-77.15  	0.00  	-2.14  	0.00  	9756.745   	9750.743   	24.220   	220				C									244	83	220	1.45	"176°00'39"""	103.591	"91°00'26"""	C	SS												
		1.45		221	"173°26'31"""	"92°25'37"""	0''	" 218° 56' 45"""	" 218° 56' 45"""	103.568  	103.499  	-65.06  	0.00  	-80.50  	0.00  	-4.10  	0.00  	9760.787   	9747.402   	22.263   	221				T									246	83	221	1.45	"173°26'31"""	103.568	"92°25'37"""	T	SS												
		2.5		222	"173°12'43"""	"92°05'52"""	0''	" 218° 52' 47"""	" 218° 52' 47"""	103.418  	103.350  	-64.87  	0.00  	-80.45  	0.00  	-5.14  	0.00  	9760.974   	9747.444   	21.221   	222				D									248	83	222	2.5	"173°12'43"""	103.418	"92°05'52"""	D	SS												
		2.5		223	"173°06'15"""	"92°05'44"""	0''	" 218° 56' 49"""	" 218° 56' 49"""	103.445  	103.377  	-64.98  	0.00  	-80.40  	0.00  	-5.14  	0.00  	9760.863   	9747.499   	21.219   	223				D									250	83	223	2.5	"173°06'15"""	103.445	"92°05'44"""	D	SS												
		2.5		224	"172°58'40"""	"91°54'59"""	0''	" 217° 58' 44"""	" 217° 58' 44"""	103.578  	103.560  	-63.73  	0.00  	-81.63  	0.00  	-3.31  	0.00  	9762.118   	9746.268   	23.049   	224				T									252	83	224	2.5	"172°58'40"""	103.578	"91°54'59"""	T	SS												
		2.5		225	"170°42'46"""	"92°00'36"""	0''	" 215° 52' 50"""	" 215° 52' 50"""	104.473  	104.409  	-61.19  	0.00  	-84.60  	0.00  	-5.03  	0.00  	9764.652   	9743.301   	21.332   	225				C									254	83	225	2.5	"170°42'46"""	104.473	"92°00'36"""	C	SS												
		2.5		226	"170°16'34"""	"92°15'51"""	0''	" 215° 56' 48"""	" 215° 56' 48"""	104.718  	104.649  	-61.43  	0.00  	-84.72  	0.00  	-5.19  	0.00  	9764.414   	9743.178   	21.174   	226				T1L									256	83	226	2.5	"170°16'34"""	104.718	"92°15'51"""	T1L	SS												
		1.45		227	"146°02'06"""	"90°15'53"""	0''	" 191° 52' 50"""	" 191° 52' 50"""	126.302  	126.302  	-26.00  	0.00  	-123.60  	0.00  	-0.52  	0.00  	9799.844   	9704.301   	25.846   	227				C									258	83	227	1.45	"146°02'06"""	126.302	"90°15'53"""	C	SS												
		1.45		228	"147°55'01"""	"90°49'00"""	0''	" 192° 55' 45"""	" 192° 55' 45"""	122.621  	122.621  	-27.44  	0.00  	-119.51  	0.00  	-0.65  	0.00  	9798.410   	9708.386   	25.710   	228				C									260	83	228	1.45	"147°55'01"""	122.621	"90°49'00"""	C	SS												
		1.45		229	"149°53'12"""	"92°12'22"""	0''	" 194° 53' 46"""	" 194° 53' 46"""	120.452  	120.376  	-30.94  	0.00  	-116.33  	0.00  	-4.60  	0.00  	9794.901   	9711.567   	21.756   	229				T									262	83	229	1.45	"149°53'12"""	120.452	"92°12'22"""	T	SS												
		1.45		230	"150°00'35"""	"92°17'42"""	0''	" 195° 50' 49"""	" 195° 50' 49"""	120.316  	120.234  	-32.83  	0.00  	-115.66  	0.00  	-4.77  	0.00  	9793.014   	9712.233   	21.586   	230				D									264	83	230	1.45	"150°00'35"""	120.316	"92°17'42"""	D	SS												
		1.45		231	"150°02'46"""	"92°25'16"""	0''	" 195° 52' 50"""	" 195° 52' 50"""	120.234  	120.154  	-32.88  	0.00  	-115.57  	0.00  	-4.70  	0.00  	9792.967   	9712.329   	21.657   	231				D									266	83	231	1.45	"150°02'46"""	120.234	"92°25'16"""	D	SS												
		1.45		232	"150°08'18"""	"92°27'02"""	0''	" 195° 58' 52"""	" 195° 58' 52"""	120.113  	120.031  	-33.05  	0.00  	-115.39  	0.00  	-4.77  	0.00  	9792.799   	9712.506   	21.594   	232				D									268	83	232	1.45	"150°08'18"""	120.113	"92°27'02"""	D	SS												
		1.45		233	"150°12'02"""	"92°19'58"""	0''	" 195° 52' 46"""	" 195° 52' 46"""	120.025  	119.940  	-32.82  	0.00  	-115.36  	0.00  	-4.84  	0.00  	9793.028   	9712.534   	21.524   	233				T									270	83	233	1.45	"150°12'02"""	120.025	"92°19'58"""	T	SS												
		1.45		234	"150°13'37"""	"92°01'07"""	0''	" 195° 53' 51"""	" 195° 53' 51"""	119.946  	119.872  	-32.83  	0.00  	-115.29  	0.00  	-4.55  	0.00  	9793.011   	9712.611   	21.806   	234				T									272	83	234	1.45	"150°13'37"""	119.946	"92°01'07"""	T	SS												
		1.45		235	"150°17'05"""	"92°01'08"""	0''	" 195° 57' 49"""	" 195° 57' 49"""	119.885  	119.811  	-32.95  	0.00  	-115.19  	0.00  	-4.55  	0.00  	9792.895   	9712.707   	21.808   	235				T									274	83	235	1.45	"150°17'05"""	119.885	"92°01'08"""	T	SS												
		1.45		236	"150°21'51"""	"92°08'14"""	0''	" 195° 51' 45"""	" 195° 51' 45"""	119.846  	119.763  	-32.73  	0.00  	-115.20  	0.00  	-4.79  	0.00  	9793.111   	9712.695   	21.568   	236				Ji									276	83	236	1.45	"150°21'51"""	119.846	"92°08'14"""	Ji	SS												
		1.45		237	"152°00'43"""	"92°08'12"""	0''	" 197° 50' 47"""	" 197° 50' 47"""	117.701  	117.619  	-36.05  	0.00  	-111.96  	0.00  	-4.71  	0.00  	9789.799   	9715.938   	21.649   	237				Ji									278	83	237	1.45	"152°00'43"""	117.701	"92°08'12"""	Ji	SS												
		1.45		238	"152°15'36"""	"92°08'11"""	0''	" 197° 55' 50"""	" 197° 55' 50"""	117.443  	117.362  	-36.13  	0.00  	-111.66  	0.00  	-4.70  	0.00  	9789.714   	9716.236   	21.659   	238				C									280	83	238	1.45	"152°15'36"""	117.443	"92°08'11"""	C	SS												
		1.45		239	"152°46'46"""	"92°13'04"""	0''	" 197° 56' 50"""	" 197° 56' 50"""	116.774  	116.699  	-35.96  	0.00  	-111.02  	0.00  	-4.51  	0.00  	9789.886   	9716.877   	21.852   	239				T									282	83	239	1.45	"152°46'46"""	116.774	"92°13'04"""	T	SS												
		1.45		240	"153°15'13"""	"92°32'46"""	0''	" 198° 55' 47"""	" 198° 55' 47"""	116.306  	116.233  	-37.71  	0.00  	-109.95  	0.00  	-4.46  	0.00  	9788.139   	9717.951   	21.901   	240				T1L									284	83	240	1.45	"153°15'13"""	116.306	"92°32'46"""	T1L	SS												
		2.5		241	"167°22'46"""	"94°08'21"""	0''	" 212° 52' 50"""	" 212° 52' 50"""	105.757  	105.482  	-57.27  	0.00  	-88.58  	0.00  	-9.00  	0.00  	9768.581   	9739.313   	17.358   	241				D1L									286	83	241	2.5	"167°22'46"""	105.757	"94°08'21"""	D1L	SS												
		2.5		242	"160°58'09"""	"94°00'45"""	0''	" 205° 58' 53"""	" 205° 58' 53"""	109.580  	109.313  	-47.89  	0.00  	-98.27  	0.00  	-9.03  	0.00  	9777.958   	9729.632   	17.335   	242				D1L									288	83	242	2.5	"160°58'09"""	109.58	"94°00'45"""	D1L	SS												
		2.5		243	"155°44'12"""	"93°50'49"""	0''	" 200° 54' 46"""	" 200° 54' 46"""	113.722  	113.566  	-40.54  	0.00  	-106.08  	0.00  	-7.34  	0.00  	9785.309   	9721.813   	19.025   	243				D1L									290	83	243	2.5	"155°44'12"""	113.722	"93°50'49"""	D1L	SS												
		1.45		K28	"179°29'52"""	"90°08'21"""	0''	" 224° 59' 46"""	" 224° 59' 46"""	154.697  	154.697  	-109.38  	0.00  	-109.39  	0.00  	-0.69  	0.00  	9716.466   	9718.503   	25.671   	K28				K28									292	83	K28	1.45	"179°29'52"""	154.697	"90°08'21"""	K28	SS												
		1.45		K29	"179°44'55"""	"90°08'32"""	0''	" 224° 54' 49"""	" 224° 54' 49"""	204.123  	204.122  	-144.12  	0.00  	-144.55  	0.00  	-0.81  	-3.66  	9681.727   	9683.344   	21.892   	K29	P			K29									294	83	K29	1.45	"179°44'55"""	204.123	"90°08'32"""	K29	SS												
																																																						
4	1.205	1.45	K29	K25	"359°44'53"""	"89°41'09"""		" 44° 54' 49"""	" 44° 54' 49"""	204.170  	204.140  							9681.727   	9683.344   	21.892   	K29				K25		6	K29	1.205	0	0	0.002	0.001	2	K29	K25	1.45	"359°44'53"""	204.17	"89°41'09"""	K25	SS												
		1.45		247	"78°47'38"""	"95°39'00"""	0''	" 123° 57' 54"""	" 123° 57' 54"""	52.465  	52.253  	43.34  	0.00  	-29.19  	0.00  	-4.95  	0.00  	9725.065   	9654.151   	16.937   	247				DS.Gr									4	245	247	1.45	"78°47'38"""	52.465	"95°39'00"""	DS.Gr	SS												
		1.45		248	"79°03'06"""	"94°52'21"""	0''	" 124° 53' 52"""	" 124° 53' 52"""	52.421  	52.291  	42.89  	0.00  	-29.92  	0.00  	-3.93  	0.00  	9724.615   	9653.427   	17.959   	248				DS.Gr									6	245	248	1.45	"79°03'06"""	52.421	"94°52'21"""	DS.Gr	SS												
		1.45		249	"79°03'10"""	"94°52'25"""	0''	" 124° 53' 46"""	" 124° 53' 46"""	52.409  	52.279  	42.88  	0.00  	-29.91  	0.00  	-3.93  	0.00  	9724.606   	9653.435   	17.959   	249				TG.Gr									8	245	249	1.45	"79°03'10"""	52.409	"94°52'25"""	TG.Gr	SS												
		1.45		250	"79°52'28"""	"93°38'38"""	0''	" 124° 52' 54"""	" 124° 52' 54"""	56.758  	56.673  	46.49  	0.00  	-32.41  	0.00  	-3.35  	0.00  	9728.218   	9650.933   	18.542   	250				TG.Gr									10	245	250	1.45	"79°52'28"""	56.758	"93°38'38"""	TG.Gr	SS												
		1.45		251	"80°48'14"""	"94°00'21"""	0''	" 125° 58' 50"""	" 125° 58' 50"""	59.509  	59.364  	48.04  	0.00  	-34.88  	0.00  	-4.40  	0.00  	9729.765   	9648.467   	17.495   	251				TG.Gr									12	245	251	1.45	"80°48'14"""	59.509	"94°00'21"""	TG.Gr	SS												
		1.45		252	"80°17'54"""	"94°37'46"""	0''	" 125° 57' 50"""	" 125° 57' 50"""	59.653  	59.499  	48.16  	0.00  	-34.94  	0.00  	-4.53  	0.00  	9729.885   	9648.402   	17.363   	252				DS.Gr									14	245	252	1.45	"80°17'54"""	59.653	"94°37'46"""	DS.Gr	SS												
		1.45		253	"91°10'10"""	"94°56'54"""	0''	" 136° 50' 46"""	" 136° 50' 46"""	51.541  	51.409  	35.16  	0.00  	-37.50  	0.00  	-3.93  	0.00  	9716.889   	9645.840   	17.961   	253				T1L									16	245	253	1.45	"91°10'10"""	51.541	"94°56'54"""	T1L	SS												
		1.45		254	"91°10'23"""	"94°01'47"""	0''	" 136° 50' 49"""	" 136° 50' 49"""	52.816  	52.686  	36.03  	0.00  	-38.44  	0.00  	-3.95  	0.00  	9717.762   	9644.908   	17.945   	254				T									18	245	254	1.45	"91°10'23"""	52.816	"94°01'47"""	T	SS												
